question,type,database
"Who gave the highest rating to the movie ""Something's Gotta Give""?",Simple Retrieval Queries,movies
What are the summaries of reviews for movies released in 2003?,Simple Retrieval Queries,movies
List the first 3 movies reviewed by Keanu Reeves.,Simple Retrieval Queries,movies
Which people reviewed movies with a rating between 70 and 90?,Simple Retrieval Queries,movies
What is the average rating given by people born before 1960?,Simple Retrieval Queries,movies
"Who reviewed the movie ""The Matrix Revolutions"" with a summary containing the word ""amazing""?",Simple Retrieval Queries,movies
List the first 3 movies with at least 3 reviews.,Simple Retrieval Queries,movies
Which movies received a rating of 100?,Simple Retrieval Queries,movies
Who gave the lowest rating to movies released in 2003?,Simple Retrieval Queries,movies
What are the summaries of reviews with a rating higher than 95?,Simple Retrieval Queries,movies
List the top 3 people who wrote the most reviews.,Simple Retrieval Queries,movies
"Which movies have reviews with both ""funny"" and ""compelling"" summaries?",Simple Retrieval Queries,movies
Who reviewed movies directed by Nancy Meyers?,Simple Retrieval Queries,movies
What are the ratings given to movies produced by Joel Silver?,Simple Retrieval Queries,movies
List the first 3 people who follow Keanu Reeves.,Simple Retrieval Queries,movies
Who does Carrie-Anne Moss follow?,Simple Retrieval Queries,movies
Which people are followed by more than 2 other people?,Simple Retrieval Queries,movies
List the first 3 people who follow someone born before 1950.,Simple Retrieval Queries,movies
"Who follows people who acted in ""The Matrix Revolutions""?",Simple Retrieval Queries,movies
Which people are followed by people who directed a movie?,Simple Retrieval Queries,movies
List the first 3 people who follow someone who produced a movie.,Simple Retrieval Queries,movies
Who follows people who reviewed a movie with a rating above 90?,Simple Retrieval Queries,movies
Which people follow Nancy Meyers and Joel Silver?,Simple Retrieval Queries,movies
List the 3 movies with the lowest number of votes.,Simple Retrieval Queries,movies
Who directed the movie with the fewest votes?,Simple Retrieval Queries,movies
What is the tagline of the movie with the earliest release date?,Simple Retrieval Queries,movies
Which person acted in the most movies?,Simple Retrieval Queries,movies
Who are the people who have both directed and produced a movie?,Simple Retrieval Queries,movies
What is the average number of votes for movies released after 2000?,Simple Retrieval Queries,movies
Which movies have no tagline?,Simple Retrieval Queries,movies
Who is the oldest person who acted in a movie?,Simple Retrieval Queries,movies
What is the average release year of movies with more than 500 votes?,Simple Retrieval Queries,movies
Which pair of people acted in the same movie?,Simple Retrieval Queries,movies
Who acted in movies directed by the youngest director?,Simple Retrieval Queries,movies
What is the difference in release years between the oldest and newest movies?,Simple Retrieval Queries,movies
Which movie has the longest tagline?,Simple Retrieval Queries,movies
Who are the people who acted in movies released in the same year they were born?,Simple Retrieval Queries,movies
What is the average rating given for movies released before 2000?,Simple Retrieval Queries,movies
Which movies have received reviews with all available summaries?,Simple Retrieval Queries,movies
Who reviewed the most movies released after 2005?,Simple Retrieval Queries,movies
What is the average number of roles played by people born after 1960?,Simple Retrieval Queries,movies
Which movies have been reviewed by everyone who follows Keanu Reeves?,Simple Retrieval Queries,movies
Who follows the person who directed the most movies?,Simple Retrieval Queries,movies
What is the average born year of people who follow someone who produced a movie?,Simple Retrieval Queries,movies
Which people have reviewed movies acted in by everyone they follow?,Simple Retrieval Queries,movies
List the first 3 movies with the highest average rating.,Simple Retrieval Queries,movies
Who directed movies reviewed by the person born the earliest?,Simple Retrieval Queries,movies
What is the average number of votes for movies written by Nancy Meyers?,Simple Retrieval Queries,movies
Which movie released after 2000 has the lowest average rating?,Simple Retrieval Queries,movies
Who acted in the movie with the highest average rating?,Simple Retrieval Queries,movies
What is the difference between the highest and lowest rating given by the same person?,Simple Retrieval Queries,movies
Which movies have been reviewed by both Keanu Reeves and Carrie-Anne Moss?,Simple Retrieval Queries,movies
Who follows people who have written and directed a movie?,Simple Retrieval Queries,movies
What is the average born year of people who have reviewed a movie with a rating of 100?,Simple Retrieval Queries,movies
Which people have acted in movies directed by someone they follow?,Simple Retrieval Queries,movies
List the top 3 movies with the largest difference between the highest and lowest rating received.,Simple Retrieval Queries,movies
"Who directed the movie with the highest number of reviews with the summary ""A solid romp""?",Simple Retrieval Queries,movies
Which movies released in 2003 did Laurence Fishburne act in?,Complex Retrieval Queries,movies
List the movies produced by Joel Silver with less than 1000 votes.,Complex Retrieval Queries,movies
"What are the titles of the movies Tom Hanks acted in, released before 2000?",Complex Retrieval Queries,movies
"Who acted in ""Cloud Atlas"" and were born after 1950?",Complex Retrieval Queries,movies
Find the movies with more than 100 votes where Hugo Weaving acted.,Complex Retrieval Queries,movies
List the names of people who acted in movies released in 1995.,Complex Retrieval Queries,movies
"What is the release year of the movie with the tagline ""Houston, we have a problem.""?",Complex Retrieval Queries,movies
"Which movies have ""Fun"" in their review summary?",Complex Retrieval Queries,movies
Find the movies reviewed with a rating greater than 90.,Complex Retrieval Queries,movies
List the people born before 1965 who acted in movies with over 50 votes.,Complex Retrieval Queries,movies
What are the roles Laurence Fishburne played in movies released after 2000?,Complex Retrieval Queries,movies
"Find the people who acted in movies with a tagline containing the word ""connected"".",Complex Retrieval Queries,movies
Which movies released before 2010 were reviewed with a rating less than 70?,Complex Retrieval Queries,movies
"List the names of people who acted in movies with ""The Matrix"" in the title.",Complex Retrieval Queries,movies
What is the average rating of movies released after 1990?,Complex Retrieval Queries,movies
Find the movies with the lowest number of votes that Hugo Weaving acted in.,Complex Retrieval Queries,movies
"Which person acted in both ""Apollo 13"" and ""Cloud Atlas""?",Complex Retrieval Queries,movies
List the movies released between 1990 and 2005 with more than 50 votes.,Complex Retrieval Queries,movies
What are the taglines of movies with a rating higher than 85?,Complex Retrieval Queries,movies
Find the people born after 1955 who acted in movies released before 2000.,Complex Retrieval Queries,movies
"Which movies have a review summary containing ""amazing""?",Complex Retrieval Queries,movies
List the names of people who produced movies with less than 500 votes.,Complex Retrieval Queries,movies
What is the release year of the movie with the highest rating?,Complex Retrieval Queries,movies
Find the movies acted in by people born before 1960 with a rating over 90.,Complex Retrieval Queries,movies
"Which person directed ""The Matrix Revolutions""?",Complex Retrieval Queries,movies
"List the movies with a tagline containing the word ""Real"" and released after 1995.",Complex Retrieval Queries,movies
What are the roles of Tom Hanks in movies released before 2000?,Complex Retrieval Queries,movies
Find the people who wrote movies with more than 1000 votes.,Complex Retrieval Queries,movies
"Which movies have a review summary containing the word ""compelling""?",Complex Retrieval Queries,movies
List the names of people who produced movies released between 1990 and 2010.,Complex Retrieval Queries,movies
What is the average number of votes for movies released before 2000?,Complex Retrieval Queries,movies
Find the movies with the highest rating reviewed by people born after 1960.,Complex Retrieval Queries,movies
Which person acted in the movie with the lowest number of votes?,Complex Retrieval Queries,movies
"List the movies released after 2000 with a tagline containing the word ""end"".",Complex Retrieval Queries,movies
What are the review summaries for movies with a rating less than 60?,Complex Retrieval Queries,movies
Find the people born before 1950 who directed movies with more than 500 votes.,Complex Retrieval Queries,movies
"Which movies have a tagline containing the word ""Speed""?",Complex Retrieval Queries,movies
List the names of people who wrote movies released before 1990.,Complex Retrieval Queries,movies
What is the release year of the movie with the lowest rating?,Complex Retrieval Queries,movies
Find the movies acted in by people born after 1965 with a rating under 70.,Complex Retrieval Queries,movies
"Which person directed the movie ""Cloud Atlas""?",Complex Retrieval Queries,movies
"List the movies with a tagline containing the word ""problem"" released before 2000.",Complex Retrieval Queries,movies
What are the roles of Laurence Fishburne in movies with more than 100 votes?,Complex Retrieval Queries,movies
Find the people who produced movies with a rating higher than 95.,Complex Retrieval Queries,movies
"Which movies have a review summary containing the word ""journey""?",Complex Retrieval Queries,movies
List the names of people who directed movies released between 2000 and 2012.,Complex Retrieval Queries,movies
What is the average rating of movies with less than 100 votes?,Complex Retrieval Queries,movies
Find the movies with the lowest rating reviewed by people born before 1955.,Complex Retrieval Queries,movies
"Which person acted in the movie with the tagline ""Welcome to the Real World""?",Complex Retrieval Queries,movies
"List the movies released before 1990 with a tagline containing the word ""beginning"".",Complex Retrieval Queries,movies
What are the review summaries for movies with more than 500 votes?,Complex Retrieval Queries,movies
Find the people born after 1960 who wrote movies with less than 100 votes.,Complex Retrieval Queries,movies
"Which movies have a tagline containing the word ""limits""?",Complex Retrieval Queries,movies
List the names of people who directed movies with a rating over 90.,Complex Retrieval Queries,movies
What is the release year of the movie with the second highest rating?  (Limit to 3),Complex Retrieval Queries,movies
Find the movies acted in by Laurence Fishburne with a rating above 80.,Complex Retrieval Queries,movies
Who directed the movie with the highest number of votes? (Limit to 3),Complex Retrieval Queries,movies
"List the movies with a review summary containing ""funny"" released after 1990.",Complex Retrieval Queries,movies
What are the roles of Hugo Weaving in movies with less than 200 votes?,Complex Retrieval Queries,movies
Find the people who wrote movies with a rating lower than 60.,Complex Retrieval Queries,movies
"Which movies have a tagline containing the word ""connected"" and were released before 2010?",Complex Retrieval Queries,movies
"List the names of people born after 1950 who acted in ""Apollo 13"".",Complex Retrieval Queries,movies
What is the average number of votes for movies with a rating greater than 80?,Complex Retrieval Queries,movies
Find the movies with the highest rating directed by people born before 1960. (Limit to 3),Complex Retrieval Queries,movies
"Which person produced the movie ""Speed Racer""?",Complex Retrieval Queries,movies
"List the movies released after 2005 with a tagline containing the word ""Everything"".",Complex Retrieval Queries,movies
What are the review summaries for movies with a rating between 70 and 90?,Complex Retrieval Queries,movies
Find the people born before 1955 who wrote movies with more than 200 votes.,Complex Retrieval Queries,movies
"Which movies have a tagline containing the word ""Houston""?",Complex Retrieval Queries,movies
List the names of people who acted in movies directed by Joel Silver.,Complex Retrieval Queries,movies
What is the release year of the movie with the third highest number of votes? (Limit to 3),Complex Retrieval Queries,movies
Find the movies acted in by Tom Hanks with a rating below 80.,Complex Retrieval Queries,movies
Who wrote the movie with the lowest number of votes? (Limit to 3),Complex Retrieval Queries,movies
"List the movies with a review summary containing ""solid"" released before 2000.",Complex Retrieval Queries,movies
What are the roles of Laurence Fishburne in movies released before 2000?,Complex Retrieval Queries,movies
Find the people who produced movies with a rating between 75 and 90.,Complex Retrieval Queries,movies
"Which movies have a tagline containing the words ""has a beginning"" and were released after 2000?",Complex Retrieval Queries,movies
"List the names of people born after 1960 who acted in ""The Matrix Revolutions"".",Complex Retrieval Queries,movies
What is the average rating for movies released between 1995 and 2005?,Complex Retrieval Queries,movies
Find the 3 movies with the highest votes that Hugo Weaving acted in.,Complex Retrieval Queries,movies
Which person directed the movie with the lowest rating? (Limit to 3),Complex Retrieval Queries,movies
"List the 5 movies released after 2000 with a review summary containing ""fun"".",Complex Retrieval Queries,movies
What are the roles of Tom Hanks in movies with more than 150 votes?,Complex Retrieval Queries,movies
Find the 3 people who produced movies with the most votes.,Complex Retrieval Queries,movies
"Which movies have a review summary containing the word ""dark"" and were released before 2010?",Complex Retrieval Queries,movies
List the names of people born before 1965 who acted in movies with a rating above 90.,Complex Retrieval Queries,movies
What is the average number of votes for movies released between 1990 and 2000?,Complex Retrieval Queries,movies
Find the 3 movies with the lowest rating directed by people born after 1950.,Complex Retrieval Queries,movies
"Which person wrote the movie ""Cloud Atlas""? (Limit to 3)",Complex Retrieval Queries,movies
"List the 5 movies released before 2005 with a tagline containing the word ""Matrix"".",Complex Retrieval Queries,movies
What are the review summaries for movies with less than 50 votes?,Complex Retrieval Queries,movies
Find the 3 people born after 1955 who directed movies with more than 100 votes.,Complex Retrieval Queries,movies
"Which movies have a tagline containing the word ""Atlas""?",Complex Retrieval Queries,movies
List the names of people who acted in movies produced by Laurence Fishburne.,Complex Retrieval Queries,movies
What is the release year of the movie with the second lowest number of votes? (Limit to 3),Complex Retrieval Queries,movies
Find the 3 movies acted in by Joel Silver with a rating above 70.,Complex Retrieval Queries,movies
Who produced the movie with the highest rating? (Limit to 3),Complex Retrieval Queries,movies
"List the 5 movies with a review summary containing ""romp"" released after 1995.",Complex Retrieval Queries,movies
What are the roles of Hugo Weaving in movies with a rating below 80?,Complex Retrieval Queries,movies
Which movies released in 2003 did Keanu Reeves act in?,Simple Aggregation Queries,movies
What are the titles of the top 3 movies with the most votes?,Simple Aggregation Queries,movies
Find the names of the people who directed movies released between 1990 and 2000.,Simple Aggregation Queries,movies
List the top 5 movies with the highest ratings reviewed by Keanu Reeves.,Simple Aggregation Queries,movies
What are the titles and release years of the first 3 movies acted in by Laurence Fishburne?,Simple Aggregation Queries,movies
"Who are the 3 people who acted in ""Something's Gotta Give""?",Simple Aggregation Queries,movies
What is the average rating given by Keanu Reeves in his reviews?,Simple Aggregation Queries,movies
List the names of the people who wrote movies released after 2000.,Simple Aggregation Queries,movies
Which movies were produced by Joel Silver and released before 2010?,Simple Aggregation Queries,movies
Find the top 3 movies with the lowest number of votes.,Simple Aggregation Queries,movies
What are the taglines of movies directed by Nancy Meyers?,Simple Aggregation Queries,movies
"Who directed ""The Matrix Revolutions""?",Simple Aggregation Queries,movies
List the roles played by Laurence Fishburne in movies released in 2003.,Simple Aggregation Queries,movies
What are the summaries of the reviews given by Keanu Reeves with a rating above 90?,Simple Aggregation Queries,movies
Find the release years of the 3 movies with the fewest votes.,Simple Aggregation Queries,movies
"Who are the people who produced ""Speed Racer""?",Simple Aggregation Queries,movies
What is the average number of votes for movies released in 2003?,Simple Aggregation Queries,movies
List the names of the people born before 1960 who directed a movie.,Simple Aggregation Queries,movies
Which movies were written by people born after 1950?,Simple Aggregation Queries,movies
What are the titles and taglines of the 3 movies with the highest number of votes?,Simple Aggregation Queries,movies
Find the names of the people who acted in movies with more than 1000 votes.,Simple Aggregation Queries,movies
What is the earliest release year of a movie directed by Nancy Meyers?,Simple Aggregation Queries,movies
"List the roles played by Keanu Reeves in ""Something's Gotta Give"".",Simple Aggregation Queries,movies
What are the summaries of reviews with a rating between 70 and 80?,Simple Aggregation Queries,movies
Find the birth years of the 3 people who acted in the movies with the most votes.,Simple Aggregation Queries,movies
"Who produced movies released in the same year as ""The Matrix Revolutions""?",Simple Aggregation Queries,movies
What is the average rating of reviews for movies released after 2000?,Simple Aggregation Queries,movies
List the names of the people born after 1960 who wrote a movie.,Simple Aggregation Queries,movies
Which movies were directed by people born before 1955?,Simple Aggregation Queries,movies
What are the titles and release years of the 3 movies with the lowest ratings?,Simple Aggregation Queries,movies
Find the names of the people who acted in movies released before 1990.,Simple Aggregation Queries,movies
What is the latest release year of a movie produced by Joel Silver?,Simple Aggregation Queries,movies
List the roles played by Laurence Fishburne in movies with more than 500 votes.,Simple Aggregation Queries,movies
What are the summaries of the 3 reviews with the highest ratings?,Simple Aggregation Queries,movies
Find the birth years of the people who directed movies with less than 100 votes.,Simple Aggregation Queries,movies
"Who wrote movies released in the same year as ""Something's Gotta Give""?",Simple Aggregation Queries,movies
What is the average number of votes for movies produced by Joel Silver?,Simple Aggregation Queries,movies
List the names of the 3 oldest people who acted in a movie.,Simple Aggregation Queries,movies
Which movies were written by people born between 1940 and 1950?,Simple Aggregation Queries,movies
What are the titles and taglines of the movies directed by Nancy Meyers?,Simple Aggregation Queries,movies
Find the names of 3 people who acted in movies with a rating above 95.,Simple Aggregation Queries,movies
What is the earliest birth year of a person who produced a movie?,Simple Aggregation Queries,movies
List the roles played by Keanu Reeves in movies released after 2000.,Simple Aggregation Queries,movies
What are the summaries of the 3 reviews with the lowest ratings?,Simple Aggregation Queries,movies
Find the birth years of the people who directed the 3 movies with the most votes.,Simple Aggregation Queries,movies
Who produced movies acted in by Keanu Reeves?,Simple Aggregation Queries,movies
What is the average rating of reviews for movies released before 2000?,Simple Aggregation Queries,movies
List the names of the 3 youngest people who wrote a movie.,Simple Aggregation Queries,movies
Which movies were directed by people born between 1950 and 1960?,Simple Aggregation Queries,movies
"What are the titles and release years of the movies with the tagline containing ""end""?",Simple Aggregation Queries,movies
Who acted in movies produced by Joel Silver?,Simple Aggregation Queries,movies
What is the latest birth year of a person who directed a movie?,Simple Aggregation Queries,movies
List the roles of Keanu Reeves in movies with a rating greater than 80.,Simple Aggregation Queries,movies
Find the 3 movies with the shortest taglines.,Simple Aggregation Queries,movies
Who wrote movies released after the year Keanu Reeves was born?,Simple Aggregation Queries,movies
List the names of the people who follow Keanu Reeves.,Simple Aggregation Queries,movies
"Which movies released before 2000 have ""fun"" in their review summaries?",Simple Aggregation Queries,movies
Who acted in the movie with the most votes?,Simple Aggregation Queries,movies
What is the earliest year a person who reviewed a movie was born?,Simple Aggregation Queries,movies
List 3 distinct roles played by actors in movies released in 2003.,Simple Aggregation Queries,movies
Find the movies reviewed by people born before 1960.,Simple Aggregation Queries,movies
Who directed movies with more than 500 votes?,Simple Aggregation Queries,movies
What is the average born year of people who wrote movies?,Simple Aggregation Queries,movies
List the names of people who follow Laurence Fishburne.,Simple Aggregation Queries,movies
Who acted in movies released the same year they were born?,Simple Aggregation Queries,movies
What is the latest year a person who reviewed a movie was born?,Simple Aggregation Queries,movies
List 3 distinct roles played by actors in movies with more than 1000 votes.,Simple Aggregation Queries,movies
"Find the movies with a tagline containing the word ""Real"".",Simple Aggregation Queries,movies
What is the average released year of movies produced by Joel Silver?,Simple Aggregation Queries,movies
List the people who follow Nancy Meyers.,Simple Aggregation Queries,movies
Who acted in movies directed by people born before 1950?,Simple Aggregation Queries,movies
What is the earliest released year of a movie reviewed by Keanu Reeves?,Simple Aggregation Queries,movies
List the distinct roles played by actors in movies with a rating above 90.,Simple Aggregation Queries,movies
"Find the movies with a tagline containing the word ""Speed"".",Simple Aggregation Queries,movies
Who directed movies with a rating greater than 90?,Simple Aggregation Queries,movies
What is the average number of votes of movies released before 2000?,Simple Aggregation Queries,movies
List the names of people born after 1960 who have reviewed movies.,Simple Aggregation Queries,movies
"Which movies released after 2000 have ""journey"" in their review summaries?",Simple Aggregation Queries,movies
Who acted in the movie with the fewest votes?,Simple Aggregation Queries,movies
What is the median born year of people who acted in movies?,Simple Aggregation Queries,movies
List 3 distinct roles played by actors in movies with less than 100 votes.,Simple Aggregation Queries,movies
Find the movies reviewed by people born after 1960.,Simple Aggregation Queries,movies
Who directed movies released between 1995 and 2005?,Simple Aggregation Queries,movies
What is the maximum number of roles played by a single actor in a movie?,Simple Aggregation Queries,movies
List movies with reviews that have a rating between 80 and 90.,Simple Aggregation Queries,movies
"Which movies have ""football"" in their review summary?",Simple Aggregation Queries,movies
Who acted in movies with a release year before 1990?,Simple Aggregation Queries,movies
What is the minimum number of votes for movies released after 2000?,Simple Aggregation Queries,movies
"List the movies with review summaries containing ""romp"".",Simple Aggregation Queries,movies
"Find the movies with taglines containing the word ""Matrix"".",Simple Aggregation Queries,movies
"Who directed movies released the same year as ""Speed Racer""?",Simple Aggregation Queries,movies
What is the maximum rating given in a movie review?,Simple Aggregation Queries,movies
List the movies released between 1995 and 2005 with more than 500 votes.,Simple Aggregation Queries,movies
"Which movies have ""Slapstick"" in their review summary?",Simple Aggregation Queries,movies
Who acted in the same movie as Laurence Fishburne?,Simple Aggregation Queries,movies
What is the minimum rating given in a movie review?,Simple Aggregation Queries,movies
Which movies released between 1990 and 2000 have more than 5000 votes?,Pathfinding Queries,movies
List the first 3 movies directed by Lana Wachowski.,Pathfinding Queries,movies
"Who are the first 3 people who acted in ""The Matrix""?",Pathfinding Queries,movies
What are the roles played by Keanu Reeves in the movies he acted in?,Pathfinding Queries,movies
Which movies did Joel Silver produce?,Pathfinding Queries,movies
"Who directed the movie ""Speed Racer""?",Pathfinding Queries,movies
"What is the tagline of the movie ""V for Vendetta""?",Pathfinding Queries,movies
"How many votes did the movie ""The Matrix"" receive?",Pathfinding Queries,movies
"In what year was the movie ""Speed Racer"" released?",Pathfinding Queries,movies
"Who produced the movie with the tagline ""Welcome to the Real World""?",Pathfinding Queries,movies
What are the first 3 movies reviewed with a rating above 90?,Pathfinding Queries,movies
"List the first 3 reviews' summaries and ratings for ""The Matrix"".",Pathfinding Queries,movies
Who are the first 3 people who reviewed movies with a rating between 70 and 80?,Pathfinding Queries,movies
What is the average rating given by the first 3 reviewers?,Pathfinding Queries,movies
"Which movies have been reviewed with the summary ""A solid romp""?",Pathfinding Queries,movies
What is the highest rating given to a movie directed by Lana Wachowski?,Pathfinding Queries,movies
"List the first 3 movies produced by Joel Silver, along with their release year and number of votes.",Pathfinding Queries,movies
Find the first 3 people born after 1960 who directed a movie.,Pathfinding Queries,movies
What are the taglines of the first 3 movies released before 1995?,Pathfinding Queries,movies
Which person directed and produced the same movie?,Pathfinding Queries,movies
Who are the first 3 people who acted in movies released after 2000?,Pathfinding Queries,movies
What are the titles of the first 3 movies with more than 1000 votes?,Pathfinding Queries,movies
List the first 3 people born before 1960 who produced a movie.,Pathfinding Queries,movies
Find the first 3 movies with the lowest number of votes.,Pathfinding Queries,movies
What is the average number of votes for movies released between 1995 and 2005?,Pathfinding Queries,movies
Which person directed the movie with the highest number of votes?,Pathfinding Queries,movies
Who are the first 3 people who acted in movies with a rating above 85?,Pathfinding Queries,movies
"List the first 3 movies with taglines containing the word ""Forever"".",Pathfinding Queries,movies
Find the first 3 people who produced movies released before 1990.,Pathfinding Queries,movies
"What are the roles played by the first 3 actors in ""Speed Racer""?",Pathfinding Queries,movies
"Who directed the movie with the summary ""A solid romp""?",Pathfinding Queries,movies
What is the average rating of movies released after 2005?,Pathfinding Queries,movies
Which person wrote and directed the same movie?,Pathfinding Queries,movies
"List the first 3 movies with titles containing the word ""The"".",Pathfinding Queries,movies
"Find the first 3 people who reviewed movies with the summary ""Pretty funny at times"".",Pathfinding Queries,movies
What are the release years of the first 3 movies directed by Lilly Wachowski?,Pathfinding Queries,movies
Who produced the movie with the lowest number of votes?,Pathfinding Queries,movies
What is the highest rating given to a movie produced by Joel Silver?,Pathfinding Queries,movies
Which person acted in and directed the same movie?,Pathfinding Queries,movies
List the first 3 movies released in the year 2008.,Pathfinding Queries,movies
Find the first 3 people who reviewed movies released before 1995.,Pathfinding Queries,movies
What are the taglines of the first 3 movies directed by Lana Wachowski?,Pathfinding Queries,movies
Who produced the movie with the highest rating?,Pathfinding Queries,movies
What is the average number of votes for movies released in the year 2006?,Pathfinding Queries,movies
Which person acted in the movie with the lowest rating?,Pathfinding Queries,movies
"List the first 3 movies with summaries containing the word ""amazing"".",Pathfinding Queries,movies
Find the first 3 people who directed movies with more than 5000 votes.,Pathfinding Queries,movies
"What are the roles played by Keanu Reeves in the movie ""The Matrix""?",Pathfinding Queries,movies
Who directed the movie released in the year 1999 with the highest number of votes?,Pathfinding Queries,movies
What is the tagline of the movie with the lowest rating?,Pathfinding Queries,movies
Which person produced and wrote the same movie?,Pathfinding Queries,movies
"List the first 3 movies reviewed with the summary ""Dark, but compelling"".",Pathfinding Queries,movies
Find the first 3 people born after 1970 who acted in a movie.,Pathfinding Queries,movies
What are the release years of the first 3 movies with more than 3000 votes?,Pathfinding Queries,movies
"Who directed the movie with the summary ""Silly, but fun""?",Pathfinding Queries,movies
What is the average rating of movies produced by Joel Silver?,Pathfinding Queries,movies
Which person acted in and produced the same movie?,Pathfinding Queries,movies
"List the first 3 movies with titles containing the word ""Racer"".",Pathfinding Queries,movies
Find the first 3 people who reviewed movies directed by Lana Wachowski.,Pathfinding Queries,movies
What are the taglines of the first 3 movies released after 2005?,Pathfinding Queries,movies
Who wrote the movie with the highest number of votes?,Pathfinding Queries,movies
"What is the release year of the movie with the summary ""An amazing journey""?",Pathfinding Queries,movies
Which person directed and wrote the same movie?,Pathfinding Queries,movies
List the first 3 movies reviewed by the person born in 1965.,Pathfinding Queries,movies
Find the first 3 people who produced movies with a rating above 90.,Pathfinding Queries,movies
What are the roles played by the first 3 actors in the movie with the highest number of votes?,Pathfinding Queries,movies
"Who directed the movie with the tagline ""Freedom! Forever!""?",Pathfinding Queries,movies
What is the average rating of movies released before 1990?,Pathfinding Queries,movies
Which person acted in and wrote the same movie?,Pathfinding Queries,movies
"What is the release year of the movie ""V for Vendetta""?",Pathfinding Queries,movies
Who are the first 3 people who followed Lana Wachowski?,Pathfinding Queries,movies
Who are the first 3 people followed by Keanu Reeves?,Pathfinding Queries,movies
What are the first 3 movies acted in by people who follow Lilly Wachowski?,Pathfinding Queries,movies
What is the average rating of movies reviewed by people who follow Joel Silver?,Pathfinding Queries,movies
Which movies were directed by people followed by Keanu Reeves?,Pathfinding Queries,movies
What is the earliest release year of a movie acted in by someone who follows Lana Wachowski?,Pathfinding Queries,movies
Who directed the top 3 highest rated movies reviewed by followers of Joel Silver?,Pathfinding Queries,movies
What are the taglines of the movies produced by people followed by Lilly Wachowski?,Pathfinding Queries,movies
"Who are the top 3 people born before 1960 that are followed by someone who acted in ""The Matrix""?",Pathfinding Queries,movies
What are the roles of the actors in the movies reviewed with a rating greater than 95?,Pathfinding Queries,movies
"Which movies released after 2000 were reviewed with ""An amazing journey"" by someone who follows Keanu Reeves?",Pathfinding Queries,movies
Who are the people who acted in movies directed by someone followed by Lana Wachowski?,Pathfinding Queries,movies
