question,database,output,type,cypher,explanation
"What are the roles of Keanu Reeves in the movie ""Something's Gotta Give""?",movies,"<explanation>
This query starts with finding the movie with the title ""Something's Gotta Give"" and the person named ""Keanu Reeves"". Then it finds the ""ACTED_IN"" relationship connecting them and returns the roles property of that relationship.
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})<-[ai:ACTED_IN]-(p:Person {name: ""Keanu Reeves""})
RETURN ai.roles
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})<-[ai:ACTED_IN]-(p:Person {name: ""Keanu Reeves""})
RETURN ai.roles","This query starts with finding the movie with the title ""Something's Gotta Give"" and the person named ""Keanu Reeves"". Then it finds the ""ACTED_IN"" relationship connecting them and returns the roles property of that relationship."
"Who produced the movie with the tagline ""Speed has no limits""?",movies,"<explanation>
1. **Match the movie node:** Start by matching the movie node with the tagline ""Speed has no limits"". 
2. **Traverse the PRODUCED relationship:** Traverse the ""PRODUCED"" relationship in the reverse direction (incoming) to find the person who produced the movie.
3. **Return the person's name:** Return the ""name"" property of the person node. 

```cypher
MATCH (m:Movie {tagline: ""Speed has no limits""})
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN p.name
```
</explanation>
```cypher
MATCH (m:Movie {tagline: ""Speed has no limits""})
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN p.name
```",Simple Retrieval Queries,"MATCH (m:Movie {tagline: ""Speed has no limits""})
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN p.name","1. **Match the movie node:** Start by matching the movie node with the tagline ""Speed has no limits"". 
2. **Traverse the PRODUCED relationship:** Traverse the ""PRODUCED"" relationship in the reverse direction (incoming) to find the person who produced the movie.
3. **Return the person's name:** Return the ""name"" property of the person node. 

```cypher
MATCH (m:Movie {tagline: ""Speed has no limits""})
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN p.name
```"
Which movies released in 2003 have more than 50 votes?,movies,"<explanation>
This Cypher query identifies movies released in 2003 with more than 50 votes.

1. **MATCH Clause**: We start by finding all `Movie` nodes.
2. **WHERE Clause**: We filter these movies to only include those released in 2003 and having more than 50 votes.
3. **RETURN Clause**:  We return the titles of the movies that satisfy these criteria. 

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released = 2003 AND m.votes > 50
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.released = 2003 AND m.votes > 50
RETURN m.title","This Cypher query identifies movies released in 2003 with more than 50 votes.

1. **MATCH Clause**: We start by finding all `Movie` nodes.
2. **WHERE Clause**: We filter these movies to only include those released in 2003 and having more than 50 votes.
3. **RETURN Clause**:  We return the titles of the movies that satisfy these criteria."
List the top 5 movies with the highest number of votes.,movies,"<explanation>
This query starts with all Movie nodes and orders them in descending order based on their `votes` property. It then uses `LIMIT` to return only the top 5 movies with the highest number of votes.

```cypher
MATCH (m:Movie)
RETURN m.title, m.votes
ORDER BY m.votes DESC
LIMIT 5
```
<explanation>",Simple Retrieval Queries,"MATCH (m:Movie)
RETURN m.title, m.votes
ORDER BY m.votes DESC
LIMIT 5",
Who are the people born before 1960?,movies,"<explanation>This query starts with all Person nodes and filters to those with a 'born' property less than 1960. It then returns their names. </explanation>
```cypher
MATCH (p:Person)
WHERE p.born < 1960
RETURN p.name
```",Simple Retrieval Queries,"MATCH (p:Person)
WHERE p.born < 1960
RETURN p.name",This query starts with all Person nodes and filters to those with a 'born' property less than 1960. It then returns their names.
"Which movies have ""Matrix"" in their title?",movies,"<explanation>This query looks for movies with the word ""Matrix"" in the title.
1. **MATCH Clause**: We start by matching all Movie nodes.
2. **WHERE Clause**: We filter these movies to only include those whose title contains the word ""Matrix"".
3. **RETURN Clause**: We return the titles of the movies that meet this criteria.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
RETURN m.title","This query looks for movies with the word ""Matrix"" in the title.
1. **MATCH Clause**: We start by matching all Movie nodes.
2. **WHERE Clause**: We filter these movies to only include those whose title contains the word ""Matrix"".
3. **RETURN Clause**: We return the titles of the movies that meet this criteria."
What are the taglines of the movies released after 2000?,movies,"<explanation>
This query starts with all Movie nodes and filters by the released property to only include movies released after 2000. 
It then returns the tagline property for each of those movies. 
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released > 2000
RETURN m.tagline
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.released > 2000
RETURN m.tagline","This query starts with all Movie nodes and filters by the released property to only include movies released after 2000. 
It then returns the tagline property for each of those movies."
List the first 3 people who acted in movies released in 2003.,movies,"<explanation>
This query will first find all movies released in 2003. Then, it will find all people who acted in those movies. Finally, it will return the first 3 people found and their names. 

1. **Find movies released in 2003**:
   - We start by matching all movie nodes (`MATCH (m:Movie)`)
   - Then, we filter for movies released in 2003 (`WHERE m.released = 2003`).

2. **Find people who acted in those movies**: 
   - We use the `ACTED_IN` relationship to find the people who acted in the movies we selected in the previous step.

3. **Return the first 3 names**:
   - We use `RETURN p.name` to specify that we only want the name of each person.
   - We use `LIMIT 3` to limit the results to the first 3 people.

```cypher
MATCH (m:Movie)
WHERE m.released = 2003
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name
LIMIT 3
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released = 2003
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name
LIMIT 3
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.released = 2003
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name
LIMIT 3","This query will first find all movies released in 2003. Then, it will find all people who acted in those movies. Finally, it will return the first 3 people found and their names. 

1. **Find movies released in 2003**:
   - We start by matching all movie nodes (`MATCH (m:Movie)`)
   - Then, we filter for movies released in 2003 (`WHERE m.released = 2003`).

2. **Find people who acted in those movies**: 
   - We use the `ACTED_IN` relationship to find the people who acted in the movies we selected in the previous step.

3. **Return the first 3 names**:
   - We use `RETURN p.name` to specify that we only want the name of each person.
   - We use `LIMIT 3` to limit the results to the first 3 people.

```cypher
MATCH (m:Movie)
WHERE m.released = 2003
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name
LIMIT 3
```"
Who directed movies with more than 100 votes?,movies,"<explanation>
This query identifies people who directed movies with more than 100 votes.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)** - It starts by finding all people directly connected to movies by the DIRECTED relationship.
2. **WHERE m.votes > 100** - This filters for movies with over 100 votes.
3. **RETURN DISTINCT p.name** -  Finally, it returns the names of the directors. ""DISTINCT"" ensures each director is listed only once even if they directed multiple qualifying movies. 

</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes > 100
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes > 100
RETURN DISTINCT p.name","This query identifies people who directed movies with more than 100 votes.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)** - It starts by finding all people directly connected to movies by the DIRECTED relationship.
2. **WHERE m.votes > 100** - This filters for movies with over 100 votes.
3. **RETURN DISTINCT p.name** -  Finally, it returns the names of the directors. ""DISTINCT"" ensures each director is listed only once even if they directed multiple qualifying movies."
What are the titles of movies produced by Joel Silver?,movies,"<explanation>
This query starts by finding the person node with the name 'Joel Silver'. Then, it traverses the `PRODUCED` relationships from that node to find all movies produced by Joel Silver. Finally, it returns the titles of those movies. 
</explanation>
```cypher
MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
RETURN m.title","This query starts by finding the person node with the name 'Joel Silver'. Then, it traverses the `PRODUCED` relationships from that node to find all movies produced by Joel Silver. Finally, it returns the titles of those movies."
"Which person acted in both ""Something's Gotta Give"" and ""The Matrix Revolutions""?",movies,"<explanation>
This query identifies a person who acted in both ""Something's Gotta Give"" and ""The Matrix Revolutions""

1. **Match the movies:** It starts by matching the two movies by their titles.
2. **Match actors:** For each movie, it finds all actors connected to the movie through the `ACTED_IN` relationship.
3. **Find the common actor:** The `WITH` clause collects all actors for each movie, and the `WHERE` clause filters for actors present in both result sets.
4. **Return the actor's name:** The query returns the `name` of the common actor.

```cypher
MATCH (movie1:Movie {title: ""Something's Gotta Give""})
MATCH (movie2:Movie {title: ""The Matrix Revolutions""})
MATCH (movie1)<-[:ACTED_IN]-(actor1:Person)
MATCH (movie2)<-[:ACTED_IN]-(actor2:Person)
WITH movie1, movie2, collect(actor1) AS actors1, collect(actor2) AS actors2
WHERE any(actor IN actors1 WHERE actor IN actors2)
RETURN DISTINCT actors1.name
```
</explanation>
```cypher
MATCH (movie1:Movie {title: ""Something's Gotta Give""})
MATCH (movie2:Movie {title: ""The Matrix Revolutions""})
MATCH (movie1)<-[:ACTED_IN]-(actor1:Person)
MATCH (movie2)<-[:ACTED_IN]-(actor2:Person)
WITH movie1, movie2, collect(actor1) AS actors1, collect(actor2) AS actors2
WHERE any(actor IN actors1 WHERE actor IN actors2)
RETURN DISTINCT actors1.name
```",Simple Retrieval Queries,"MATCH (movie1:Movie {title: ""Something's Gotta Give""})
MATCH (movie2:Movie {title: ""The Matrix Revolutions""})
MATCH (movie1)<-[:ACTED_IN]-(actor1:Person)
MATCH (movie2)<-[:ACTED_IN]-(actor2:Person)
WITH movie1, movie2, collect(actor1) AS actors1, collect(actor2) AS actors2
WHERE any(actor IN actors1 WHERE actor IN actors2)
RETURN DISTINCT actors1.name","This query identifies a person who acted in both ""Something's Gotta Give"" and ""The Matrix Revolutions""

1. **Match the movies:** It starts by matching the two movies by their titles.
2. **Match actors:** For each movie, it finds all actors connected to the movie through the `ACTED_IN` relationship.
3. **Find the common actor:** The `WITH` clause collects all actors for each movie, and the `WHERE` clause filters for actors present in both result sets.
4. **Return the actor's name:** The query returns the `name` of the common actor.

```cypher
MATCH (movie1:Movie {title: ""Something's Gotta Give""})
MATCH (movie2:Movie {title: ""The Matrix Revolutions""})
MATCH (movie1)<-[:ACTED_IN]-(actor1:Person)
MATCH (movie2)<-[:ACTED_IN]-(actor2:Person)
WITH movie1, movie2, collect(actor1) AS actors1, collect(actor2) AS actors2
WHERE any(actor IN actors1 WHERE actor IN actors2)
RETURN DISTINCT actors1.name
```"
List the first 5 movies released between 1990 and 2010.,movies,"<explanation>
This query looks for movies released between 1990 and 2010 and returns the titles of the first 5 found. 

1. **MATCH (m:Movie)**: This line starts by matching all nodes with the label ""Movie"" and assigning them to the variable ""m"".
2. **WHERE m.released >= 1990 AND m.released <= 2010**: This line filters the matched movies to only include those released between 1990 and 2010.
3. **RETURN m.title**: This line specifies that we want to return the title of each movie.
4. **LIMIT 5**: This line limits the number of results returned to 5.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released >= 1990 AND m.released <= 2010
RETURN m.title
LIMIT 5
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.released >= 1990 AND m.released <= 2010
RETURN m.title
LIMIT 5","This query looks for movies released between 1990 and 2010 and returns the titles of the first 5 found. 

1. **MATCH (m:Movie)**: This line starts by matching all nodes with the label ""Movie"" and assigning them to the variable ""m"".
2. **WHERE m.released >= 1990 AND m.released <= 2010**: This line filters the matched movies to only include those released between 1990 and 2010.
3. **RETURN m.title**: This line specifies that we want to return the title of each movie.
4. **LIMIT 5**: This line limits the number of results returned to 5."
Who are the people who have directed or produced a movie?,movies,"<explanation>
This query starts with a `MATCH` clause that looks for all people who have either directed or produced a movie. This is accomplished using a pattern that includes both relationship types (`DIRECTED` and `PRODUCED`). We then use `WITH` clause to avoid implicit aggregation and return the names of the people found.

```cypher
MATCH (p:Person)-[:DIRECTED|:PRODUCED]->(m:Movie)
WITH p
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED|:PRODUCED]->(m:Movie)
WITH p
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (p:Person)-[:DIRECTED|:PRODUCED]->(m:Movie)
WITH p
RETURN DISTINCT p.name","This query starts with a `MATCH` clause that looks for all people who have either directed or produced a movie. This is accomplished using a pattern that includes both relationship types (`DIRECTED` and `PRODUCED`). We then use `WITH` clause to avoid implicit aggregation and return the names of the people found.

```cypher
MATCH (p:Person)-[:DIRECTED|:PRODUCED]->(m:Movie)
WITH p
RETURN DISTINCT p.name
```"
What are the taglines of movies with more than 500 votes?,movies,"<explanation>
This query starts by matching all Movie nodes. Then it filters these nodes by those with a `votes` property value greater than 500. Finally, the query returns the `tagline` property of the movies that passed the filter. 

```cypher
MATCH (m:Movie)
WHERE m.votes > 500
RETURN m.tagline
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.votes > 500
RETURN m.tagline
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.votes > 500
RETURN m.tagline","This query starts by matching all Movie nodes. Then it filters these nodes by those with a `votes` property value greater than 500. Finally, the query returns the `tagline` property of the movies that passed the filter. 

```cypher
MATCH (m:Movie)
WHERE m.votes > 500
RETURN m.tagline
```"
"Which movies were released in the same year as ""The Matrix Revolutions""?",movies,"<explanation>
1. **Find the movie with the title ""The Matrix Revolutions.""** We'll use `MATCH` to locate this movie node.
2. **Get the release year of ""The Matrix Revolutions.""**  We'll access the `released` property of the movie node.
3. **Find movies released in the same year.** We'll use another `MATCH` clause to find movies where the `released` property matches the year we obtained in the previous step.
4. **Return the titles of those movies.** We'll use `RETURN` to display the `title` property of the movies found.

```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS releaseYear
MATCH (otherMovies:Movie {released: releaseYear})
RETURN otherMovies.title AS movieTitle
```
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS releaseYear
MATCH (otherMovies:Movie {released: releaseYear})
RETURN otherMovies.title AS movieTitle
```
",Simple Retrieval Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS releaseYear
MATCH (otherMovies:Movie {released: releaseYear})
RETURN otherMovies.title AS movieTitle","1. **Find the movie with the title ""The Matrix Revolutions.""** We'll use `MATCH` to locate this movie node.
2. **Get the release year of ""The Matrix Revolutions.""**  We'll access the `released` property of the movie node.
3. **Find movies released in the same year.** We'll use another `MATCH` clause to find movies where the `released` property matches the year we obtained in the previous step.
4. **Return the titles of those movies.** We'll use `RETURN` to display the `title` property of the movies found.

```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
WITH m.released AS releaseYear
MATCH (otherMovies:Movie {released: releaseYear})
RETURN otherMovies.title AS movieTitle
```"
List the top 3 people with the highest number of movies acted in.,movies,"<explanation>
This query identifies the top 3 people who have acted in the most movies. 

1. **MATCH and Count Movies:** It starts by matching all people (`p`) who have acted in movies (`m`) and counts the number of movies each person acted in using `size(collect(m))`.
2. **Aggregation and Ordering:** It then uses `WITH`  to aggregate and order the results in descending order of the movie count.
3. **Limiting Results:** Finally, it limits the output to the top 3 people and returns their names and the corresponding movie count.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WITH p, size(collect(m)) AS movieCount
ORDER BY movieCount DESC
LIMIT 3
RETURN p.name AS personName, movieCount
```
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WITH p, size(collect(m)) AS movieCount
ORDER BY movieCount DESC
LIMIT 3
RETURN p.name AS personName, movieCount
```
",Simple Retrieval Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WITH p, size(collect(m)) AS movieCount
ORDER BY movieCount DESC
LIMIT 3
RETURN p.name AS personName, movieCount","This query identifies the top 3 people who have acted in the most movies. 

1. **MATCH and Count Movies:** It starts by matching all people (`p`) who have acted in movies (`m`) and counts the number of movies each person acted in using `size(collect(m))`.
2. **Aggregation and Ordering:** It then uses `WITH`  to aggregate and order the results in descending order of the movie count.
3. **Limiting Results:** Finally, it limits the output to the top 3 people and returns their names and the corresponding movie count.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WITH p, size(collect(m)) AS movieCount
ORDER BY movieCount DESC
LIMIT 3
RETURN p.name AS personName, movieCount
```"
Who wrote movies released before 2000?,movies,"<explanation>
1. We need to find `Person` nodes who have a `WROTE` relationship with `Movie` nodes.
2. We need to filter those `Movie` nodes to only include those released before the year 2000.
3. We will return the `name` property of the `Person` nodes.

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 2000
RETURN p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 2000
RETURN p.name
```",Simple Retrieval Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 2000
RETURN p.name","1. We need to find `Person` nodes who have a `WROTE` relationship with `Movie` nodes.
2. We need to filter those `Movie` nodes to only include those released before the year 2000.
3. We will return the `name` property of the `Person` nodes.

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 2000
RETURN p.name
```"
What are the titles of movies directed by people born before 1955?,movies,"<explanation>
This query first finds all people born before 1955.  Then, for each person, it finds all the movies they directed. Finally, it returns the titles of those movies. 

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This matches all Person nodes that have a DIRECTED relationship to a Movie node.
2. **WHERE p.born < 1955**: This filters the Person nodes to only include those born before 1955.
3. **RETURN m.title**: This returns the title property of each Movie node found.
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1955
RETURN m.title
```",Simple Retrieval Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1955
RETURN m.title","This query first finds all people born before 1955.  Then, for each person, it finds all the movies they directed. Finally, it returns the titles of those movies. 

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This matches all Person nodes that have a DIRECTED relationship to a Movie node.
2. **WHERE p.born < 1955**: This filters the Person nodes to only include those born before 1955.
3. **RETURN m.title**: This returns the title property of each Movie node found."
Which people acted in movies produced by Joel Silver?,movies,"<explanation>
1. **Find Joel Silver:** Start by finding the `Person` node with the `name` ""Joel Silver"".
2. **Movies produced by Joel Silver:** Traverse the `PRODUCED` relationships from Joel Silver to find all the `Movie` nodes he produced.
3. **People who acted in those movies:** For each movie, traverse the `ACTED_IN` relationships in reverse to find all the `Person` nodes who acted in them.
4. **Return the actors:** Return the `name` property of each `Person` found in step 3, representing the actors who acted in movies produced by Joel Silver.

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT a.name
```
</explanation>
```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT a.name
```",Simple Retrieval Queries,"MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT a.name","1. **Find Joel Silver:** Start by finding the `Person` node with the `name` ""Joel Silver"".
2. **Movies produced by Joel Silver:** Traverse the `PRODUCED` relationships from Joel Silver to find all the `Movie` nodes he produced.
3. **People who acted in those movies:** For each movie, traverse the `ACTED_IN` relationships in reverse to find all the `Person` nodes who acted in them.
4. **Return the actors:** Return the `name` property of each `Person` found in step 3, representing the actors who acted in movies produced by Joel Silver.

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT a.name
```"
